sample_id,sample_labid,sample_sequenceid,duplicate_id,extraction_date,sample_tissuetype,sample_buffer,country,lateral_flow_test,dfat_result,diagnostic_result,test_centre,ngs_runid,ngs_rundate,ngs_location,ngs_platform,nanopore_platform,ngs_flowcell,ngs_prep,ngs_barcode,extraction_pass,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,consensus_coverage
M-79,RADDL4B-24-071,RADDL4B-24-071_1,1,18 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run6,3 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode32,fail,65221,63328,2509.169712,1561.139162,2505.5,0,7825,11887,11747,11689,11551,11598
M-79,RADDL4B-24-071,RADDL4B-24-071_2,1,10 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode90,pass,11134,10309,392.0721589,413.2608323,242,0,2443,11893,11687,11674,9960,11600
M-8,RADDL4B-23-071,RADDL4B-24-071_3,1,16 Sep 2024,Brain,None,Philippines,positive,positive,positive,RADDL-4B,rabv_4b_2024_r9_run7,16 Oct 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode61,pass,45614,44875,2775.835065,1001.863033,2784.5,0,4859,11900,11893,11886,11869,11803
M-8,RADDL4B-23-071,RADDL4B-24-071_4,1,22 Nov 2024,Brain,None,Philippines,positive,positive,positive,RADDL-4B,rabv_4b_2024_r9_run10,26 Nov 2024,Philippines,Nanopore,Minion,FAU49052,Amplicon,barcode54,pass,4992,4622,176.3702648,213.8264379,93,0,1244,11887,11882,11668,5462,10175
M-8,RADDL4B-23-071,RADDL4B-24-071_5,1,3 Dec 2024,Brain,None,Philippines,positive,positive,positive,RADDL-4B,rabv_4b_2024_r9_run12,5 Dec 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode10,pass,2107,1951,91.94745223,82.64539313,71,0,528,11889,11881,10637,4201,9418
M-81,RADDL4B-24-073,RADDL4B-24-073,1,18 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run6,3 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode33,fail,44984,43702,1632.229132,1071.317287,1676,0,5369,11896,11700,11523,11515,11395
M-82,RADDL4B-24-074,RADDL4B-24-074,1,18 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run6,3 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode34,fail,30038,29126,1164.391133,704.4740843,1149,0,3482,11693,11682,11039,11025,10853
M-84,RADDL4B-24-076,RADDL4B-24-076,1,18 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run6,3 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode35,fail,62280,60535,2965.482652,1583.061727,2745.5,0,7954,11717,11684,11682,11516,11600
M-85,RADDL4B-24-077,RADDL4B-24-077_1,1,18 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run6,3 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode36,fail,58168,56594,1988.250251,1671.360074,1782,0,7809,11702,11525,11521,11354,11399
M-85,RADDL4B-24-077,RADDL4B-24-077_2,1,10 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode91,pass,6167,5613,263.3015421,213.196696,186,0,1190,11893,11893,11881,10017,11797
